Date,Open,High,Low,Volume,Close,Open,High,Low,Volume,Close
14/05/2023,26788.97,27150.98,26661.36,26930.64,10014858959,0.23868104,0.241048898,0.242773217,3.17E-08,0.067115196
15/05/2023,26931.38,27646.35,26766.1,27192.69,14413231792,0.239958302,0.245481404,0.243733134,3.25E-08,0.096591164
16/05/2023,27171.51,27299.3,26878.95,27036.65,12732238816,0.242112004,0.242376046,0.244767377,3.20E-08,0.085325885
17/05/2023,27035.47,27465.93,26600.14,27398.8,15140006925,0.240891874,0.243867029,0.24221215,3.31E-08,0.101461692
18/05/2023,27401.65,27466.53,26415.1,26832.21,15222938600,0.244176107,0.243872398,0.240516302,3.15E-08,0.102017464
19/05/2023,26826.75,27128.62,26700.21,26890.13,11258983301,0.239019886,0.240848823,0.243129268,3.16E-08,0.075452772
20/05/2023,26888.84,27155.16,26843.28,27129.59,7044911360,0.239576765,0.2410863,0.24444047,3.23E-08,0.047211908
21/05/2023,27118.42,27265.92,26706.92,26753.83,8647416921,0.241635845,0.242077366,0.243190763,3.12E-08,0.057951199
22/05/2023,26749.89,27045.73,26549.73,26851.28,11056770492,0.238330536,0.240107135,0.241750154,3.15E-08,0.074097631
23/05/2023,26855.96,27434.68,26816.18,27225.73,13697203143,0.239281867,0.243587409,0.244192105,3.26E-08,0.091792654
24/05/2023,27224.6,27224.6,26106.58,26334.82,16299104428,0.242588163,0.24170764,0.237688789,3.01E-08,0.109229456
25/05/2023,26329.46,26591.52,25890.59,26476.21,13851122697,0.234559741,0.236042922,0.235709292,3.05E-08,0.092824155
26/05/2023,26474.18,26916.67,26343.95,26719.29,12711619225,0.23585772,0.238952322,0.239864229,3.11E-08,0.085187702
27/05/2023,26720.18,26888.88,26621.14,26868.35,7892015141,0.23806407,0.238703661,0.24240461,3.16E-08,0.052888827
28/05/2023,26871.16,28193.45,26802.75,28085.65,14545229578,0.239418194,0.250376784,0.244069022,3.50E-08,0.097475755
29/05/2023,28075.59,28432.04,27563.88,27745.88,15181308984,0.250220607,0.252511656,0.251044599,3.41E-08,0.101738481
